[2023-11-01 23:19:28] [class-ss-url-fetcher.php:251] Fetching URL: http://renesmeliterary.com
[2023-11-01 23:19:58] [class-ss-url-fetcher.php:251] Fetching URL: https://renesmeliterary.com/issues/
[2023-11-01 23:20:28] [class-ss-url-fetcher.php:251] Fetching URL: https://renesmeliterary.com/issues/the-kingdom-where-nobody-dies/
[2023-11-01 23:20:58] [class-ss-url-fetcher.php:251] Fetching URL: https://renesmeliterary.com/issues/blue-filter/
[2023-11-01 23:20:58] [class-ss-url-fetcher.php:251] Fetching URL: https://renesmeliterary.com/issues/tweet-anthology-2022/
[2023-11-01 23:21:01] [class-ss-archive-creation-job.php:79] Starting a job; no job is presently running
[2023-11-01 23:21:01] [class-ss-archive-creation-job.php:80] Here's our task list: setup, fetch_urls, create_zip_archive, wrapup
[2023-11-01 23:21:01] [class-ss-archive-creation-job.php:94] Pushing first task to queue: setup
[2023-11-01 23:21:28] [class-ss-url-fetcher.php:251] Fetching URL: https://renesmeliterary.com/issues/volterra/
[2023-11-01 23:21:30] [class-ss-archive-creation-job.php:128] Current task: setup
[2023-11-01 23:21:30] [class-ss-archive-creation-job.php:145] Performing task: setup
[2023-11-01 23:21:30] [class-ss-task.php:44] Status message: [setup] Setting up
[2023-11-01 23:21:30] [class-ss-setup-task.php:33] Creating archive directory: C:\Users\dfant\Documents\00-CodingProjects\workspace-main\Websites\RenesmeLiteraryWebsite\simply-static-tmp\simply-static-1-1698878673\
[2023-11-01 23:21:30] [class-ss-setup-task.php:79] Adding origin URL to queue: http://renesmeliterary.com/
[2023-11-01 23:21:30] [class-ss-setup-task.php:102] Adding additional URL to queue: https://renesmeliterary.com/issues/
[2023-11-01 23:21:30] [class-ss-setup-task.php:102] Adding additional URL to queue: https://renesmeliterary.com/issues/the-kingdom-where-nobody-dies/
[2023-11-01 23:21:30] [class-ss-setup-task.php:102] Adding additional URL to queue: https://renesmeliterary.com/issues/blue-filter/
[2023-11-01 23:21:30] [class-ss-setup-task.php:102] Adding additional URL to queue: https://renesmeliterary.com/issues/tweet-anthology-2022/
[2023-11-01 23:21:30] [class-ss-setup-task.php:102] Adding additional URL to queue: https://renesmeliterary.com/issues/volterra/
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.min.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.min.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/color-thief/color-thief.min.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.min.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/eicons/eicons.json
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.js
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/svg-with-js.css
[2023-11-01 23:21:30] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/svg-with-js.min.css
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.css
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.ttf
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff2
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/FontAwesome.otf
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/brands.js
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/regular.js
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/solid.js
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.js
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/json/brands.json
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/json/regular.json
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/json/solid.json
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/migration/mapping.js
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff
[2023-11-01 23:21:31] [class-elementor-integration.php:214] Adding elementor bundle asset to queue: http://renesmeliterary.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2
